id|enun|op1|op2|op3|op4|op5|resp|year|idimg
15|Paciente de 58 años que acude a urgencias por presentar taquicardias frecuentes de comienzo brusco. El paciente no tiene antecedentes personales de interés salvo la historia de taquicardias desde hace unos años, sobre todo relacionada con cambios posturales acompañadas de mareo y dolor torácico. La figura muestra un trazado de ECG a su admisión en urgencias, donde el paciente manifestaba que la taquicardia estaba teniendo un comportamiento incesante, comenzando y finalizando de forma espontánea en múltiples ocasiones. En su opinión el diagnóstico más probable en este paciente es:|Vía accesoria aurículo ventricular y taquicardia de reentrada ortodrómica|Taquicardia ventricular|Síndrome de Brugada asociado a taquicardias|Síndrome de Wolff-Parkinson-White y fibrilación auricular|Taquicardia de reentrada aurículo ventricular mediada por una vía lenta intranodal|1|2013|15
16|Paciente de 58 años que acude a urgencias por presentar taquicardias frecuentes de comienzo brusco. El paciente no tiene antecedentes personales de interés salvo la historia de taquicardias desde hace unos años, sobre todo relacionada con cambios posturales acompañadas de mareo y dolor torácico. La figura muestra un trazado de ECG a su admisión en urgencias, donde el paciente manifestaba que la taquicardia estaba teniendo un comportamiento incesante, comenzando y finalizando de forma espontánea en múltiples ocasiones. Una vez controlado el episodio agudo, qué tratamiento es el más aconsejado en este caso:|Tratamiento quirúrgico|Ablación con catéter de la vía accesoria|Marcapasos antitaquicardia|Tratamiento con amiodarona|Desfibrilador automático|2|2013|16
17|¿Cuál de las lesiones cutáneas que aparecen en la imagen debe ser extirparda de forma inmediata?|Lesión 1|Lesión 3|Lesión 5|Lesión 2|Lesión 4|1|2013|17
18|El informe histológico de la lesión extirpada de la imagen es una proliferación compuesta por nidos irregulares de células melanocíticas atípicas. ¿Cuál es el factor pronóstico más importante en este tumor?|La edad del paciente|El tipo histológico de melanoma|La localización anatómica del tumor|El espesor tumoral (índice de Breslow)|Los antecedentes familiares|4|2013|18
19|Hombre de 42 años de edad, fumador de unos 20 cigarrillos/día, camionero de profesión, bebedor de 1 litro de vino al día. Padre y madre muertos de accidentes cerebrovasculares. Entre sus antecedentes destaca Herpes zoster oftálmico hace un año y hernia de hiato diagnosticada hace dos años en tratamiento con omeprazol. Acude remitido a la consulta por su odontólogo, que está tratándolo por múltiples caries, por observar en mucosa yugal derecha, placa blanquecina, de unos 3 centímetros de diámetro, de contornos irregulares, geográficos, superficie lisa, no infiltrada al tacto, situada justo detras de la comisura bucal. No se observaban otras alteraciones en el resto de las mucosas, ni en resto del tegumento cutáneo. La lesión no le provocaba ningún síntoma y no sabía precisar el tiempo de evolución al no habérsela visto personalmente. ¿Cuál es el diagnóstico más probable de este caso?|Leucoplasia|Lupus eritematoso|Candidiasis|Liquen plano|Chancro sifilítico|1|2013|19
20|Hombre de 42 años de edad, fumador de unos 20 cigarrillos/día, camionero de profesión, bebedor de 1 litro de vino al día. Padre y madre muertos de accidentes cerebrovasculares. Entre sus antecedentes destaca Herpes zoster oftálmico hace un año y hernia de hiato diagnosticada hace dos años en tratamiento con omeprazol. Acude remitido a la consulta por su odontólogo, que está tratándolo por múltiples caries, por observar en mucosa yugal derecha, placa blanquecina, de unos 3 centímetros de diámetro, de contornos irregulares, geográficos, superficie lisa, no infiltrada al tacto, situada justo detras de la comisura bucal (imagen nº 10). No se observaban otras alteraciones en el resto de las mucosas, ni en resto del tegumento cutáneo. La lesión no le provocaba ningún síntoma y no sabía precisar el tiempo de evolución al no habérsela visto personalmente. ¿Cómo confirmaría el diagnóstico?|Serología de virus hepatotropos|Exámen histológico|Anticuerpos antinucleares|Serología de lúes|Dermatoscopia digital|2|2013|20
21|Mujer de 33 años de edad, trabajadora de la limpieza en una ludoteca infantil y con antecedentes de frecuentes episodios de amigdalitis pultácea. 48 horas antes de la consulta inicia un cuadro de fiebre de hasta 38ºC con odinofagia. Por este motivo se automedica con amoxicilinaclavulánico. A las 12 horas aparece un exantema pruriginoso generalizado motivo por el que consulta a su médico de familia que cambia el antibiótico a azitromicina y añade corticoides al tratamiento por sospecha de toxicodermia medicamentosa. 24 horas más tarde la fiebre persiste, se añade cierta sensación disneica y tos, motivo por el que consulta al servicio de urgencias hospitalario. La exploración física muestra una paciente con fiebre de 39ºC, con estado general afectado, exantema en cara, tronco y espalda, pruriginoso, confluente, con lesiones papulares, habonosas, diseminadas que afectan palmas y plantas. La exploración de la cavidad oral no muestra placas pultáceas amigdalares, pero sí unas lesiones eritematosas con centro blanquecino frente a ambas arcadas dentarias superiores (imagen).¿Cuál sería la mejor manera de definir estas lesiones teniendo en cuenta el contexto de la paciente?|Liquen|Leucoplasia|Muguet|Aftas|Manchas de Koplik|5|2013|21
22|Mujer de 33 años de edad, trabajadora de la limpieza en una ludoteca infantil y con antecedentes de frecuentes episodios de amigdalitis pultácea. 48 horas antes de la consulta inicia un cuadro de fiebre de hasta 38ºC con odinofagia. Por este motivo se automedica con amoxicilinaclavulánico. A las 12 horas aparece un exantema pruriginoso generalizado motivo por el que consulta a su médico de familia que cambia el antibiótico a azitromicina y añade corticoides al tratamiento por sospecha de toxicodermia medicamentosa. 24 horas más tarde la fiebre persiste, se añade cierta sensación disneica y tos, motivo por el que consulta al servicio de urgencias hospitalario. La exploración física muestra una paciente con fiebre de 39ºC, con estado general afectado, exantema en cara, tronco y espalda, pruriginoso, confluente, con lesiones papulares, habonosas, diseminadas que afectan palmas y plantas. La exploración de la cavidad oral no muestra placas pultáceas amigdalares, pero sí unas lesiones eritematosas con centro blanquecino frente a ambas arcadas dentarias superiores. La paciente presentaba crepitantes bibasales y una saturación de O2 del 90%. La radiografía de tórax mostró un aumento tenue de densidad bibasal de aspecto intersticial. La serología para VIH de urgencia fue negativa. Se cambió el tratamiento antibiótico a levofloxacino, se ingresó a la paciente y se solicitaron diversas pruebas complementarias. Al cuarto día la paciente quedó afebril, se recuperó de la disnea y las lesiones cutáneas se fueron aclarando progresivamente en sentido inverso a su aparición. ¿Cual de las siguientes pruebas cree Ud. que permitió el diagnóstico definitivo?|Serología virus influenza H1N1|Serología IgM del sarampión|Pruebas treponémicas y reagínicas para la lúes|Serología IgM del Mycoplasma|Serología IgM Parvovirus B-19|2|2013|22
23|Un paciente de 25 años consulta por una clínica de fiebre de hasta 39ºC y diarrea de unos 5 días de evolución. Explica que hace 2 meses realizó un viaje de tres semanas por diversas zonas rurales de la India. Asegura que hizo profilaxis con mefloquina semanal antes, durante y 4 semanas después del viaje, sin olvidar ninguna toma. Entre las diversas pruebas se realiza una extensión de sangre periférica cuyos hallazgos se muestran en la imagen. ¿Cuál es la mejor de las siguientes afirmaciones?|Se pueden apreciar 2 trofozoitos de P. vivax|Se observan hematies fragmentados y cuerpos de Howell-Jolly|Lo más sugestivo es que se trate de esquizontes de P. falciparum|Se observan varios granulocitos en diferentes estadios de maduración|Se trata de eritroblastos circulantes|1|2013|23
24|Supongamos que se establece el diagnóstico de paludismo en este paciente. El tratamiento erradicador de los estadios hepáticos para prevenir las recurrencias debe considerarse en las parasitemias por:|P. falciparum y P. malarie|P. falciparum y P. malariae|P. malarie y P. ovale|P. falciparum y P. ovale|P. ovale y P. vivax|5|2013|24
25|En la fractura que puede verse en la imagen, ¿cuál es el nervio que puede verse afectado con mayor frecuencia?|Nervio cubital|Nervio musculocutáneo|Nervio radial|Nervio mediano|Nervio circunflejo|3|2013|25
26|¿En cuál de las siguientes circunstancias NO se aconseja el tratamiento quirúrgico como opción inicial en el manejo de esta fractura?|Paciente politraumatizado|Lesión asociada ipsilateral del cúbito y radio (codo flotante)|Fractura patológica|Angulación en el foco de fractura de 10 grados|Lesión asociada de la arteria braquial|4|2013|26
27|Se trata de un enfermo de 42 años qe presenta un dolor lumbar intenso, irradiado por glúteo, cara dorsal de muslo y dorsolateral de la pierna derecha. En la exploración (imagen nº 14) encontramos un pie derecho caído (foto 1) y ocurre lo que puede ver cuando le pedimos que levante las puntas de los pies (foto2). Debe sospechar:|Radículopatía S1 derecha|Radículopatía L5 derecha|Hernia discal L3-L4|Neuropatía del nervio ciático poplíteo externo o peroneal|Neuropatía del nervio ciático común|2|2013|27
28|Se trata de un enfermo de 42 años qe presenta un dolor lumbar intenso, irradiado por glúteo, cara dorsal de muslo y dorsolateral de la pierna derecha. En la exploración (imagen nº 14) encontramos un pie derecho caído (foto 1) y ocurre lo que puede ver cuando le pedimos que levante las puntas de los pies (foto2). ¿Qué otros hallazgos esperaría encontrar en la exploración física del paciente anterior?|Hipoestesia en la planta del pie derecho|Pérdida del reflejo rotuliano derecho|Debilidad en el músculo sóleo derecho|Pérdida de sensibilidad en la cara dorsal del pie derecho|Pérdida del reflejo aquíleo derecho|4|2013|28
29|Mujer de 52 años asintomática que acude a un programa de detección precoz de cáncer de mama. Para completar el estudio se realiza una radiografia ampliada que se muestra en la imagen. ¿Cuál es el signo radiográfico que define mejor los hallazgos ?|Lesiones microquísticas|Microcalcificaciones segmentarias sospechosas de malignidad|Nódulos con microcalcificaciones|Mamografía normal|Microcalcificaciones groseras sugestivas de mastopatía fibroquística|2|2013|29
30|Mujer de 52 años asintomática que acude a un programa de detección precoz de cáncer de mama. Para completar el estudio se realiza una radiografia ampliada que se muestra en la imagen. A la vista de estos hallazgos, ¿cuál es la actitud a realizar?|Tratamiento con antiestrógenos|Control rutinario en el programa de cribado mamográfico|Control mamográfico en 6 meses para ver su estabilidad|Biopsia con control esterotáxico|Cirugía radical|4|2013|30
31|En la radiografía de la imagen  se observa:|Hiperostosis focal|Alteraciones en sal y pimienta|Lesiones blásticas|Craneoestenosis|Lesiones líticas|5|2013|31
32|¿Cuál de entre los siguientes es su diagnóstico de esta radiografía?|Hipervitaminosis D|Mieloma|Hiperparatiroidismo|Enfermedad de Paget|Acromegalia|2|2013|32
33|Niño de 7 meses traído a Urgencias por presentar episodios intermitentes de llanto de aparición brusca con encogimiento de piernas, irritabilidad, sudoración y palidez. En las últimas horas ha comenzado con rechazo del biberón y deposiciones con sangre encontrándose muy aletargado. La exploración física es díficil debido a su irritabilidad. Introducción del gluten hace una semana. Se le realiza una ecografía de abdomen donde se observa la imagen adjunta. ¿Cuál es su diagnóstico?|Posible intolerancia alimentaria|Adenitis mesentérica|Invaginación intestinal|Gastroenteritis aguda|Apendicitis aguda|3|2013|33
34|Niño de 7 meses traído a Urgencias por presentar episodios intermitentes de llanto de aparición brusca con encogimiento de piernas, irritabilidad, sudoración y palidez. En las últimas horas ha comenzado con rechazo del biberón y deposiciones con sangre encontrándose muy aletargado. La exploración física es díficil debido a su irritabilidad. Introducción del gluten hace una semana. Se le realiza una ecografía de abdomen donde se observa la imagen adjunta. Cual de estas medidas NO está indicada en este paciente.|Tratamiento conservador con dieta normal para su edad pero exenta gluten|Tratamiento quirúrgico|Reducción hidrostática con insuflación de aire|Antibioterapia de amplio espectro (ampicilina y gentamicina) durante al menos 24 horas|Reducción hidrostática con enema de bario|1|2013|34
35|En relación a la infección por H. pylori, señalar la respuesta FALSA|En pacientes con úlcera gástrica se recomienda que la comprobación de la erradicación de esta bacteria se realice con endoscopia y toma de biopsias gástricas para asegurarse de la cicatrización ulcerosa|Se recomienda la erradicación de esta bacteria en personas con historia previa de enfermedad ulcerosa péptica, aunque se encuentren asintomáticas|Es recomendable la realización de un amplio despistaje y tratamiento de esta infección en la población general para disminuir la incidencia de cáncer gástrico y de enfermedad ulcerosa péptica|Se recomienda la erradicación de esta bacteria en familiares de primer grado de pacientes con cáncer gástrico|Para comprobar la eliminación de la infección por H. Pylori con la prueba del aliento con urea marcada tras el tratamiento se debe suprimir la toma de inhibidores de la bomba de protones al menos 2 semanas antes|3|2013|0
36|El diagnóstico de gastritis crónica se realiza fundamentalmente mediante|Ecoendoscopia|Estudio histológico|Estudios radiológicos|Determinación de la vitamina B12|Valoración de Helicobacter Pylori|2|2013|0
37|Una mujer de 46 años de edad, diabética en tratamiento con insulina desde hace unos 12 años presenta sensación de saciedad, nauseas vómitos y pérdida de unos 3 kg de peso en el último mes, se sospecha una gastroparesia diabética siendo la mejor prueba para este diagnóstico una de las siguientes:|Manometría gástrica|Estudio de vaciamiento gástrico de sólidos con isótopos radiactivos|Gastroscopia|Electrogastrografía|Rx con contraste baritado (tránsito gastrointestinal)|2|2013|0
38|¿Cuál de los siguientes supuestos cumple los criterios de Amsterdam-II para el diagnóstico del síndrome de Lynch?|Hombre diagnosticado de cáncer colorrectal (CCR) a la edad de 52 años. Padre diagnosticado de CCR a los 75 años. Hermano diagnosticado de CCR a los 61 años|Hombre de 70 años diagnosticado de CCR. Padre con CCR a los 45 años. Hermana con cáncer de cérvix uterino a los 61 años|Mujer de 71 años diagnosticada de CCR. Hermana diagnosticada de cáncer de endometrio a los 48 años. Abuela materna diagnosticada de CCR a los 80 años|Hombre diagnosticado de CCR a los 51 años. Padre diagnosticado de CCR a los 70 años. Hermano diagnosticado de CCR a los 45 años|Mujer de 48 años diagnosticada de CCR. Madre diagnosticada de CCR a los 78 años. Prima materna diagnosticada de cáncer de mama a los 39 años|4|2013|0
39|A un paciente de 75 años con cirrosis hepática que presenta ascitis moderada y tiene varicesesofágicas grandes y una puntuación de Child-Pugh de 9 puntos (clase B), se le ha detectado en una ecografía abdominal una lesión hepática única de 3 cm. de diámetro que es hipervascular en fase arterial del angio-TAC. ¿Cuál es la actitud terapéutica más correcta en este caso?|Realizar un tratamiento local mediante técnicas de ablación percutánea|Practicar una resección quirúrgica del tumor|Proponer un trasplante hepático|Iniciar sorafenib oral|Tratar con quimioembolización arterial del tumor|1|2013|0
40|Hombre de 20 años previamente sano y sin antecedentes personales de interés que es llevado al servicio de urgencias por presentar agitación durante las últimas 24 horas. Durante la semana previa sus familiares le han notado coloración amarillenta de piel y de conjuntivas. Consumidor ocasional de cocaína y éxtasis y los fines de semana de alcohol (20 gramos). Mantiene relaciones sexuales de riesgo sin protección adecuada. Temperatura 37ºC. Presión arterial 110/60 mmHg. En la exploración física se observa agitación psicomotriz y desorientación en tiempo y en espacio, asterixis e ictericia en piel y mucosas, gingivorragias y epistaxis. El resto de la exploración física sin datos patológicos. Las pruebas de laboratorio demuestran hiperbilirrubinemia (25 mg/dl), ALT (GPT) y AST (GOT) mayores de 1000 UI/L; prolongación del tiempo de protrombina (actividad < 40%, INR 1 5). Indique el diagnóstico más probable del cuadro que presenta el paciente:|Síndrome de abstinencia de cocaína|Síndrome hemolítico urémico|Hepatitis aguda fulminante (insuficiencia hepática aguda grave)|Hepatitis alcohólica (esteatohepatitis alcohólica grave)|Intoxicación por éxtasis|3|2013|0
41|En relación al virus de la hepatitis C, ¿cuál de las siguientes afirmaciones es FALSA?|Puede ser causa de cirrosis hepática|Es un virus RNA|El tratamiento consiste en administrar ribavirina en monoterapia|El genotipo más frecuente en España es el genotipo 1|El genotipo 3 responde mejor al tratamiento que el genotipo 1|3|2013|0
42|Mujer de 62 años que ingresa por ictericia franca. Se realiza una colangio-resonancia magnética nuclear que muestra una masa en la cabeza del páncreas y estenosis de colédoco adyacente a la masa pero también una estenosis de conducto hepático común. Una punción aspiración con aguja fina de la masa no muestra células malignas. Debido a una crisis de broncoespasmo no relacionada con el problema pancreático se administran corticoides. Curiosamente la ictericia cede. Se realiza una TC abdominal y la masa ha disminuido de tamaño, apreciándose una menor dilatación de la vía biliar. ¿Qué prueba sería más útil para confirmar la causa más probable del cuadro?|PET-TAC|Determinación serológica de IgG4|Estudio serológico de Virus de la Inmunodeficiencia Humana (VIH)|Gammagrafía con octreótido marcado|Radiografía de tórax|2|2013|0
43|Una mujer de 55 años ingresa en el hospital con el diagnóstico de pancreatitis aguda. ¿Cuál de las siguientes pruebas o determinaciones analíticas NO es útil para predecir la gravedad de esta enfermedad?|Tomografia axial computarizada (TAC) del abdomen|Hematocrito|Nitrógeno ureico en sangre (BUN)|Creatinina en sangre|Niveles de amilasa y lipasa en sangre|5|2013|0
44|Paciente con pancreatitis aguda. En Tomografía Axial Computerizada (TAC) realizada a las 72 horas de ingreso se aprecia una necrosis del 50% del páncreas. A la 3ª semana de ingreso el paciente comienza con fiebre elevada y leucocitosis. Se solicita radiografía de tórax urgente y sedimento urinario, siendo ambos normales. Señale el siguiente paso a seguir:|Aspirado broncoalveolar, cultivo de orina y hemocultivos|Ecoendoscopia con punción de la necrosis|Punción aspiración con aguja fina de necrosis pancreática guiada por ecografía o TAC|Resonancia Magnética Nuclear abdominal|Colecistectomía urgente|3|2013|0
45|¿En cuál de las siguientes entidades que se enumeran a continuación NO es característico la presencia de signos o síntomas de malabsorción?|Linfangiectasia intestinal|Enfermedad de Whipple|Abetalipoproteinemia|Esprúe celiaco|Enfermedad de Wilson|5|2013|0
46|Cuál de las siguientes entidades clínicas NO es objeto de estudios endoscópicos repetidos (de seguimento) para el despistaje precoz de neoplasia digestiva.|Pancolitis ulcerosa de más de 10 años de evolución|Esófago de Barret|Pólipos adenomatosos de colon|Familiares de primer grado con cáncer de colon|Hernia hiatal en pacientes con reflujo clínico sintomático|5|2013|0
47|Mujer de 55 años, intervenida de apendicitis hace 24 años, que acude porque estando previamente bien, ha comenzado con vómitos de repetición tras desayunar, hace unas 12 horas, asociado a distensión abdominal. Ha presentado una deposición diarreica a las pocas horas de comenzar el cuadro. A la exploración se evidencia distensión abdominal, timpanismo y aumento de ruidos intestinales, pero no irritación peritoneal. La analítica no presenta alteraciones. En la radiografía de abdomen aparece dilatación de asas de intestino delgado, sin poder objetivarse gas en la ampolla rectal. Respecto a este caso es cierto que:|Deberíamos indicar la práctica de una colonoscopia descompresiva|Lo más probable es que nos encontremos ante un caso de obstrucción a nivel de intestino grueso|El manejo inicial debe ser conservador, con sueroterapia, aspiración nasogástrica y vigilancia clínica, analítica y radiográfica periódica|El hecho de que la paciente haya presentado una deposición diarreica nos permite excluir el diagnóstico de obstrucción intestinal. Son necesarios más estudios de imagen para asegurar un diagnóstico|Se trata de un cuadro de obstrucción intestinal por bridas que requiere laparotomía de urgencia|3|2013|0
48|Las complicaciones preoperatorias de mayor interés de la hernia inguinal son la estrangulación y la incarceración. ¿Qué hecho las diferencia?|La hernia incarcerada se caracteriza por cursar con interrupción del tránsito intestinal y la estrangulada no|La hernia estrangulada cursa con alteración de la circulación sanguínea del contenido herniario|La hernia estrangulada se reduce con la manipulación y la incarcerada no|La estrangulación es más frecuente en las hernias inguinales directas y la incarceración en las indirectas|La hernia incarcerada se caracteriza por cursar con dolor intenso y permanente|2|2013|0
